rank,name,net_worth,age,title,source_of_wealth,self_made_score,philantrophy_score,residence,marital_status,children,education
11,Mark Zuckerberg,$57.7 B,38,"Cofounder, Meta Platforms","Facebook, Self Made",8,3,"Palo Alto, California",Married,2,"Drop Out, Harvard University"
12,Rob Walton,$56.7 B,77,"Director, Walmart",Walmart,4,1,"Bentonville, Arkansas",Married,3,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas"
13,Charles Koch,$56 B,86,"Chairman and CEO, Koch Industries",Koch Industries,5,2,"Wichita, Kansas",Married,2,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology"
13,Julia Koch & family,$56 B,60,,Koch Industries,1,2,"New York, New York",Widowed,3,"Bachelor of Arts/Science, University of Central Arkansas"
15,Alice Walton,$55.7 B,72,"Chairman, Crystal Bridges Museum of American Art",Walmart,1,2,"Fort Worth, Texas",Divorced,,"Bachelor of Arts/Science, Trinity University"
16,Michael Dell,$50 B,57,"Chairman and CEO, Dell","Dell Technologies, Self Made",8,2,"Austin, Texas",Married,4,"Drop Out, The University of Texas at Austin"
17,Phil Knight & family,$41.5 B,84,"Chairman, Nike","Nike, Self Made",8,3,"Hillsboro, Oregon",Married,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon"
18,MacKenzie Scott,$37.7 B,52,Philanthropist,Amazon,3,5,"Seattle, Washington",Divorced,4,"Bachelor of Arts/Science, Princeton University"
19,Jacqueline Mars,$37 B,82,,"candy, pet food",2,,"The Plains, Virginia",Divorced,3,"Bachelor of Arts/Science, Bryn Mawr College"
19,John Mars,$37 B,86,,"candy, pet food",2,,"Jackson, Wyoming",Married,3,"Diploma, The Hotchkiss School; Bachelor of Arts/Science, Yale University"
21,Ken Griffin,$30.8 B,53,"Founder & CEO, Citadel LLC","hedge funds, Self Made",8,1,"Miami, Florida",Divorced,3,"Bachelor of Arts/Science, Harvard University"
22,Len Blavatnik,$30.7 B,65,,"music, chemicals, Self Made",9,2,"London, United Kingdom",Married,,"Master of Science, Columbia University; Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Moscow State University"
23,Jeff Yass,$30 B,64,,"trading, investments, Self Made",8,1,"Haverford, Pennsylvania",Married,4,"Bachelor of Science, SUNY Binghamton"
24,Stephen Schwarzman,$29.1 B,75,"Chairman and CEO, Blackstone","investments, Self Made",8,2,"New York, New York",Married,3,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Yale University"
25,Jim Simons,$28.1 B,84,"Founder, Renaissance Technologies Corp.","hedge funds, Self Made",8,4,"East Setauket, New York",Married,3,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, University of California, Berkeley"
26,Miriam Adelson & family,$26.4 B,76,,casinos,2,2,"Las Vegas, Nevada",Widowed,5,"Bachelor of Science, Hebrew University Jerusalem"
27,Leonard Lauder,$21.9 B,89,"Chairman Emeritus , The Estée Lauder Companies",Estee Lauder,5,3,"New York, New York","Widowed, Remarried",2,"Bachelor of Arts/Science, University of Pennsylvania"
28,Harold Hamm & family,$21.1 B,76,"Chairman and CEO, Continental Resources","oil & gas, Self Made",10,1,"Oklahoma City, Oklahoma",Divorced,5,"Diploma, High School"
29,Abigail Johnson,$20.5 B,60,"CEO, Fidelity Investments",Fidelity,4,1,"Milton, Massachusetts",Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith"
29,Lukas Walton,$20.5 B,36,,Walmart,1,1,"Chicago, Illinois",Married,,"Bachelor of Arts/Science, Colorado College"
31,Thomas Peterffy,$20.3 B,77,,"discount brokerage, Self Made",10,1,"Palm Beach, Florida",Divorced,3,"Drop Out, New York University"
32,Ray Dalio,$19.1 B,73,"Founder & Co-Chief Investment Officer, Bridgewater Associates","hedge funds, Self Made",8,3,"Greenwich, Connecticut",Married,4,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Long Island University"
33,David Tepper,$18.5 B,65,"President and Founder, Appaloosa Management","hedge funds, Self Made",8,2,"Palm Beach, Florida",Married,3,"Master of Business Administration, David A. Tepper School of Business; Bachelor of Arts/Science, University of Pittsburgh"
34,Eric Schmidt,$18.4 B,67,,"Google, Self Made",6,2,"Atherton, California",Married,2,"Bachelor of Arts/Science, Princeton University; Doctorate, University of California, Berkeley; Master of Science, University of California, Berkeley"
35,Rupert Murdoch & family,$18.1 B,91,"Chairman and CEO, News Corp","newspapers, TV network",5,1,"New York, New York",Married,6,"Bachelor of Arts/Science, Oxford University; Master of Arts, Oxford University"
36,Carl Icahn,$17.7 B,86,"Founder, Icahn Capital Management","investments, Self Made",9,2,"Indian Creek, Florida",Married,2,"Drop Out, New York University; Bachelor of Arts/Science, Princeton University"
37,Robert Pera,$17.6 B,44,"Chief Executive Officer, Ubiquiti","wireless networking gear, Self Made",8,1,"San Jose, California",Single,,"Bachelor of Arts/Science, University of California, San Diego; Master of Science, University of California, San Diego"
38,Steve Cohen,$17.5 B,66,"Founder, Point72 Asset Management","hedge funds, Self Made",8,3,"Greenwich, Connecticut",Married,7,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
39,Donald Bren,$17.4 B,90,"Chairman, Irvine Company","real estate, Self Made",8,4,"Newport Beach, California",Married,7,"Bachelor of Arts/Science, University of Washington"
40,Daniel Gilbert,$17.3 B,60,,"Quicken Loans, Self Made",8,1,"Franklin, Michigan",Married,5,"Bachelor of Arts/Science, Michigan State University; LLB, Wayne State University"
41,Sam Bankman-Fried,$17.2 B,30,"Founder, FTX","cryptocurrency exchange, Self Made",8,1,"Nassau, Bahamas",,,"Bachelor of Arts/Science, Massachusetts Institute of Technology"
42,"Thomas Frist, Jr. & family",$17 B,84,,"hospitals, Self Made",7,1,"Nashville, Tennessee",Married,3,"Bachelor of Arts/Science, Vanderbilt University; Medical Doctor, Washington University"
42,"John Menard, Jr.",$17 B,82,"Founder, Menards","home improvement stores, Self Made",9,1,"Eau Claire, Wisconsin",Married,6,"Bachelor of Arts/Science, University of Wisconsin, Eau Claire"
44,Jerry Jones,$16 B,79,"President and General Manager, Dallas Cowboys","Dallas Cowboys, Self Made",8,1,"Dallas, Texas",Married,3,"Bachelor of Arts/Science, University of Arkansas; Master of Arts, University of Arkansas"
45,David Green & family,$14 B,80,"CEO, Hobby Lobby","retail, Self Made",10,2,"Oklahoma City, Oklahoma",Married,3,"Diploma, High School"
46,George Kaiser,$13.7 B,80,"Chairman, BOK Financial","oil & gas, banking",5,4,"Tulsa, Oklahoma",Married,3,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University"
47,Jan Koum,$13.6 B,46,"CEO, cofounder, WhatsApp Inc.","WhatsApp, Self Made",10,2,"Atherton, California",Single,,"Drop Out, San Jose State University"
48,Jensen Huang,$12.9 B,59,"Founder, President and CEO, NVIDIA",,,,,,,
48,Stanley Kroenke,$12.9 B,75,,"sports, real estate, Self Made",6,,"Electra, Texas",Married,2,"Master of Business Administration, Robert J. Trulaske, Sr. College of Business; Bachelor of Arts/Science, University of Missouri"
50,Laurene Powell Jobs & family,$12.6 B,58,"Founder, Emerson Collective","Apple, Disney",2,1,"Palo Alto, California",Widowed,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
51,Diane Hendricks,$12.2 B,75,"Cofounder, ABC Supply","building supplies, Self Made",9,1,"Afton, Wisconsin",Widowed,7,"Diploma, High School"
52,Stephen Ross,$11.6 B,82,,"real estate, Self Made",8,2,"New York, New York",Married,4,"Master of Laws, New York University; Bachelor of Arts/Science, University of Michigan; Doctor of Jurisprudence, Wayne State University"
53,Donald Newhouse,$11.4 B,93,,media,5,2,"New York, New York",Widowed,3,"Drop Out, Syracuse University"
54,Israel Englander,$11.3 B,73,"Founder, Millennium Management, L.L.C.","hedge funds, Self Made",9,1,"New York, New York",Married,3,"Bachelor of Arts/Science, New York University"
55,Shahid Khan,$11.2 B,72,,"auto parts, Self Made",10,1,"Naples, Florida",Married,2,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign"
56,Philip Anschutz,$11 B,82,,investments,5,3,"Denver, Colorado",Married,3,"Bachelor of Arts/Science, University of Kansas"
56,John Doerr,$11 B,71,"Chairman, Kleiner Perkins","venture capital, Self Made",8,4,"Woodside, California",Married,2,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Rice University; Master of Science, Rice University"
56,Jeffery Hildebrand,$11 B,63,,"oil, Self Made",8,2,"Houston, Texas",Married,3,"Bachelor of Arts/Science, The University of Texas at Austin; Master of Science, The University of Texas at Austin"
59,Robert Kraft,$10.6 B,81,"Chairman & CEO, The Kraft Group","Manufacturing, New England Patriots, Self Made",8,3,"Brookline, Massachusetts","Widowed, Remarried",4,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Harvard Business School"
60,Charles Schwab,$10.5 B,85,"Chairman and Founder, Charles Schwab","discount brokerage, Self Made",8,3,"Woodside, California",Married,5,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Stanford University"
61,Andrew Beal,$10.3 B,69,,"banks, real estate, Self Made",8,1,"Dallas, Texas",Divorced,6,"Drop Out, Baylor University"
62,Michael Rubin,$10.2 B,50,"CEO, Kynetic","online retail, Self Made",8,1,"Bryn Mawr, Pennsylvania",Divorced,1,"Drop Out, Villanova University"
63,Autry Stephens,$10 B,84,,"oil, Self Made",9,,"Midland, Texas",Married,,"Master of Science, University of Texas, Austin"
63,Christy Walton,$10 B,73,,Walmart,1,1,"Jackson, Wyoming",Widowed,1,"High School Graduate, High School"
65,Pierre Omidyar,$9.9 B,55,"Founder, eBay","eBay, PayPal, Self Made",8,4,"Honolulu, Hawaii",Married,3,"Bachelor of Arts/Science, Tufts University"
66,Carl Cook,$9.7 B,60,,medical devices,3,,"Bloomington, Indiana",Married,,"Bachelor of Arts/Science, Purdue University; Master of Business Administration, Tippie School of Management"
66,John Malone,$9.7 B,81,,"cable television, Self Made",8,3,"Elizabeth, Colorado",Married,2,"Doctorate, Johns Hopkins University; Master of Science, Johns Hopkins University; Bachelor of Arts/Science, Yale University"
68,David Duffield,$9.4 B,82,"Chairman and Cofounder, Workday","business software, Self Made",8,3,"Incline Village, Nevada",Married,10,"Bachelor of Engineering, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management"
69,Marijke Mars,$9.3 B,58,,"candy, pet food",2,,"Los Angeles, California",Divorced,,"Bachelor of Arts/Science, Duke University"
69,Pamela Mars,$9.3 B,62,,"candy, pet food",2,,"Alexandria, Virginia",Married,3,"Bachelor of Arts/Science, Vassar College"
69,Valerie Mars,$9.3 B,63,,"candy, pet food",2,,"New York, New York",Married,2,"Master of Business Administration, Columbia University; Bachelor of Arts/Science, Yale University"
69,Victoria Mars,$9.3 B,65,,"candy, pet food",2,,"Philadelphia, Pennsylvania",Married,4,"Master of Business Administration, University of Pennsylvania, The Wharton School; Bachelor of Arts/Science, Yale University"
73,Eric Smidt,$9 B,62,,"hardware stores, Self Made",10,1,"Beverly Hills, California",Married,,
74,Brian Chesky,$8.9 B,41,"CEO and Cofounder, AirBnB","Airbnb, Self Made",8,1,"San Francisco, California",Single,,"Bachelor of Arts/Science, Rhode Island School of Design"
75,"Chase Coleman, III.",$8.5 B,47,"Founder, Tiger Global Management","investments, Self Made",7,2,"New York, New York",Married,,"Bachelor of Arts/Science, Williams College"
75,Patrick Ryan,$8.5 B,85,"Chairman and CEO, Ryan Specialty Group","insurance, Self Made",8,2,"Winnetka, Illinois",Married,3,"Bachelor of Arts/Science, Northwestern University"
77,Jim Kennedy,$8.4 B,74,"Chairman , Cox Enterprises","media, automotive",4,3,"Atlanta, Georgia",Married,3,"Bachelor of Arts/Science, University of Denver"
77,Blair Parry-Okeden,$8.4 B,72,,"media, automotive",1,1,"New South Wales, Australia",Divorced,2,"Diploma, High School; Bachelor of Arts/Science, University of Denver"
79,Jay Chaudhry,$8.3 B,63,,"security software, Self Made",9,,"Reno, Nevada",Married,3,"Bachelor of Technology, Indian Institute of Technology, BHU"
79,Ann Walton Kroenke,$8.3 B,73,,Walmart,1,1,"Electra, Texas",Married,2,"Registered Nurse, Lincoln University"
81,Leon Black,$8.2 B,71,,"private equity, Self Made",8,2,"New York, New York",Married,4,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University"
81,Bernard Marcus,$8.2 B,93,"Co-founder, ex chairman of the board, The Home Depot","Home Depot, Self Made",10,4,"Atlanta, Georgia",Married,3,"Bachelor of Arts/Science, Rutgers University"
83,Tamara Gustavson,$8.1 B,60,,self storage,2,1,"Lexington, Kentucky",Married,2,"Bachelor of Arts/Science, University of Southern California"
83,Dustin Moskovitz,$8.1 B,38,"Cofounder, Asana","Facebook, Self Made",8,4,"San Francisco, California",Married,,"Drop Out, Harvard University"
83,George Roberts,$8.1 B,79,,"private equity, Self Made",8,2,"Atherton, California","Widowed, Remarried",3,"Bachelor of Arts/Science, Claremont McKenna College; Doctor of Jurisprudence, UC Hastings"
86,Robert F. Smith,$8 B,59,Investor,"private equity, Self Made",8,2,"Austin, Texas",Married,7,"Master of Business Administration, Columbia University; Bachelor of Arts/Science, Cornell University"
87,Orlando Bravo,$7.9 B,52,,"private equity, Self Made",8,1,"Miami Beach, Florida",Married,4,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business; Doctor of Jurisprudence, Stanford University"
87,Michael Kim,$7.9 B,58,MBK Partners,"private equity, Self Made",7,1,"Seoul, South Korea",Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Haverford College"
87,Ramzi Musallam,$7.9 B,54,,"private equity, Self Made",6,,"New York, New York",,,"Bachelor of Arts/Science, Colgate University; Master of Business Administration, University of Chicago Booth School of Business"
87,Steven Rales,$7.9 B,71,"Chairman, Danaher","manufacturing, investments, Self Made",7,1,"Santa Barbara, California",Married,3,"Law Degree, American University; Bachelor of Arts/Science, DePauw University"
87,David Shaw,$7.9 B,71,"Founder, D. E. Shaw & Co., L.P.","hedge funds, Self Made",8,1,"New York, New York",Married,3,"Doctorate, Stanford University; Bachelor of Arts/Science, University of California, San Diego"
92,John Morris,$7.8 B,74,,"sporting goods retail, Self Made",9,2,"Springfield, Missouri",Married,4,"Bachelor of Arts/Science, Drury University"
93,Nathan Blecharczyk,$7.7 B,39,,"Airbnb, Self Made",8,1,"San Francisco, California",Married,2,"Bachelor of Arts/Science, Harvard University"
93,Rocco Commisso,$7.7 B,72,,"telecom, Self Made",10,1,"Saddle River, New Jersey",Married,2,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Columbia University"
93,Tilman Fertitta,$7.7 B,65,"Chairman and CEO, Fertitta Entertainment","Houston Rockets, entertainment, Self Made",9,1,"Houston, Texas",Married,4,"Drop Out, Texas Tech University; Drop Out, University of Houston"
93,David Geffen,$7.7 B,79,"Cofounder, DreamWorks Animation SKG Inc. (Cl A)","movies, record labels, Self Made",9,3,"Beverly Hills, California",Single,,"Drop Out, The University of Texas at Austin"
93,Nancy Walton Laurie,$7.7 B,71,,Walmart,1,1,"Henderson, Nevada",Married,1,"Bachelor of Arts/Science, University of Memphis"
93,Harry Stine,$7.7 B,80,,"agriculture, Self Made",10,1,"Adel, Iowa",Married,4,
99,Arthur Blank,$7.6 B,80,"Chairman, Atlanta Falcons","Home Depot, Self Made",9,3,"Atlanta, Georgia",Divorced,6,"Bachelor of Arts/Science, Babson College"
99,Rick Cohen & family,$7.6 B,70,,,,,,,,
99,Joe Gebbia,$7.6 B,41,"Cofounder & Chair of Airbnb.org, AirBnB","Airbnb, Self Made",8,1,"Austin, Texas",In Relationship,,"Bachelor of Arts/Science, Rhode Island School of Design"
99,Leonard Stern,$7.6 B,84,"Chairman and CEO, Hartz Mountain Industries, Inc.",real estate,5,1,"New York, New York",Married,3,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, New York University"
99,Tim Sweeney,$7.6 B,51,,"video games, Self Made",8,1,"Cary, North Carolina",,,"Bachelor of Arts/Science, University of Maryland, College Park"
104,Charles Butt,$7.5 B,84,,supermarkets,5,3,"San Antonio, Texas",Single,,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
104,Arthur Dantchik,$7.5 B,64,,"trading, investments, Self Made",8,2,"Gladwyne, Pennsylvania",Single,,"Bachelor of Science, SUNY Binghamton"
104,James Goodnight,$7.5 B,79,"CEO, SAS Institute","software, Self Made",8,1,"Cary, North Carolina",Married,3,"Bachelor of Arts/Science, North Carolina State University; Doctorate, North Carolina State University; Master of Science, North Carolina State University"
104,"Paul Tudor Jones, II.",$7.5 B,67,"Founder, Tudor Investment Corporation","hedge funds, Self Made",7,1,"Palm Beach, Florida",Married,4,"Bachelor of Arts/Science, University of Virginia"
104,Gordon Moore,$7.5 B,93,"Cofounder and Chairman Emeritus, Intel","Intel, Self Made",8,5,"Woodside, California",Married,2,"Doctorate, California Institute of Technology; Bachelor of Arts/Science, University of California, Berkeley"
109,Henry Kravis,$7.4 B,78,"Co-Chair and Co-CEO, KKR","private equity, Self Made",8,2,"New York, New York",Married,2,"Bachelor of Arts/Science, Claremont McKenna College; Master of Business Administration, Columbia Business School"
110,Pauline MacMillan Keinath,$7.3 B,88,,Cargill,1,1,"St. Louis, Missouri",Married,4,
110,Richard Kinder,$7.3 B,77,"Chairman and CEO, Kinder Morgan","pipelines, Self Made",8,3,"Houston, Texas",Married,1,"Bachelor of Arts/Science, University of Missouri; Doctor of Jurisprudence, University of Missouri"
112,Jeff Greene,$7.2 B,67,,"real estate, investments, Self Made",10,1,"Palm Beach, Florida",Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, Johns Hopkins University"
112,Don Hankey,$7.2 B,79,"Chairman, Hankey Group","auto loans, Self Made",7,1,"Malibu, California",Married,4,"Bachelor of Arts/Science, University of Southern California"
112,Leo Koguan,$7.2 B,67,,"IT provider, Self Made",8,1,"Singapore, Singapore",Divorced,2,"Master, Columbia University; Law Degree, New York Law School"
115,Jack Dangermond,$7 B,77,,"mapping software, Self Made",8,2,"Redlands, California",Married,,"Bachelor of Arts/Science, California State Polytechnical University; Master of Science, Harvard University; Master of Science, University of Minnesota"
115,J. Christopher Reyes,$7 B,68,"Co-Chairman, Reyes Holdings","food distribution, Self Made",8,1,"Hobe Sound, Florida",Married,4,"Bachelor of Arts/Science, University of Maryland"
115,Jude Reyes,$7 B,67,"Co-Chairman, Reyes Holdings","food distribution, Self Made",8,1,"Palm Beach, Florida",Married,3,"Bachelor of Arts/Science, Wofford College"
115,Don Vultaggio & family,$7 B,70,,"beverages, Self Made",10,1,"Port Washington, New York",Married,2,"High School Graduate, High School"
119,Dannine Avara,$6.9 B,58,,pipelines,1,1,"Houston, Texas",Married,,
119,Edythe Broad & family,$6.9 B,86,,"homebuilding, insurance",1,,"Los Angeles, California",Widowed,2,
119,Scott Duncan,$6.9 B,39,,pipelines,1,1,"Houston, Texas",Single,,Houston Community College
119,Milane Frantz,$6.9 B,53,,pipelines,1,1,"Houston, Texas",Married,,"Master of Arts, University of Houston"
119,Philippe Laffont,$6.9 B,55,"Founder, Coatue Management","hedge fund, Self Made",8,1,"New York, New York",Married,,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology"
119,Igor Olenicoff,$6.9 B,80,,"real estate, Self Made",10,1,"Lighthouse Point, Florida",Married,2,"Bachelor of Arts/Science, University of Southern California; Master of Business Administration, University of Southern California; Master of Science, University of Southern California"
119,Randa Duncan Williams,$6.9 B,61,"Non-Executive Chairman of the Board, Enterprise GP Holdings",pipelines,3,1,"Houston, Texas",Married,1,"Bachelor of Arts/Science, Rice University; Doctor of Jurisprudence, University of Houston"
126,John Overdeck,$6.8 B,52,"Co-Founder & Co-Chairman, Two Sigma","hedge funds, Self Made",8,2,"Millburn, New Jersey",Married,3,"Bachelor of Arts/Science, Stanford University; Master of Science, Stanford University"
126,David Siegel,$6.8 B,61,,"timeshares, Self Made",,,"Windermere, Florida",Married,13,"Drop Out, University of Miami"
128,Judy Faulkner,$6.7 B,79,"Founder and CEO, Epic Systems","healthcare software, Self Made",8,1,"Madison, Wisconsin",Married,3,"Bachelor of Arts/Science, Dickinson College; Master of Science, University of Wisconsin"
128,Paul Lee,$6.7 B,64,,,,,,,,
128,Terrence Pegula,$6.7 B,71,"Owner, Buffalo Sabres","natural gas, Self Made",9,2,"Boca Raton, Florida",Married,5,"Bachelor of Science in Engineering, Pennsylvania State University"
128,Henry Samueli,$6.7 B,68,"Cofounder, Chief Technology Officer and Chairman, Broadcom","semiconductors, Self Made",9,2,"Newport Beach, California",Married,3,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles"
128,George Soros,$6.7 B,92,"Founder, Soros Fund Management LLC","hedge funds, Self Made",10,5,"Katonah, New York",Married,5,"Bachelor of Arts/Science, London School of Economics"
133,Bubba Cathy,$6.6 B,68,,Chick-fil-A,4,1,"Atlanta, Georgia",Married,6,"Bachelor of Arts/Science, Samford University"
133,Dan Cathy,$6.6 B,69,,Chick-fil-A,4,1,"Atlanta, Georgia",Married,2,"Bachelor of Arts/Science, Georgia Southern University"
133,Trudy Cathy White,$6.6 B,66,,Chick-fil-A,2,1,"Hampton, Georgia",Married,4,"Bachelor of Arts/Science, Samford University"
133,"Edward Johnson, IV.",$6.6 B,57,,money management,2,2,"Boston, Massachusetts",,,"Bachelor of Arts/Science, Northeastern University"
133,Bruce Kovner,$6.6 B,77,"Founder, Caxton Associates LP","hedge funds, Self Made",9,2,"New York, New York",Married,3,"Bachelor of Arts/Science, Harvard University"
138,David Bonderman,$6.5 B,79,,"private equity, Self Made",7,2,"Fort Worth, Texas",Married,5,"Doctor of Jurisprudence, Harvard University; Bachelor of Arts/Science, University of Washington"
138,Ralph Lauren,$6.5 B,82,"Chairman , Ralph Lauren","apparel, Self Made",9,1,"New York, New York",Married,3,"Drop Out, City University of New York City College; Diploma, High School"
138,Reinhold Schmieding,$6.5 B,67,,"medical devices, Self Made",8,,"Naples, Florida",Married,2,"Bachelor of Arts/Science, Michigan State University"
138,John A. Sobrato & family,$6.5 B,83,"Founder and Chairman, Sobrato Development Cos.","real estate, Self Made",7,4,"Atherton, California",Married,3,"Bachelor of Arts/Science, Santa Clara University"
138,John Tu,$6.5 B,81,"President, Kingston Technology Corporation","computer hardware, Self Made",9,1,"Rolling Hills, California",Married,2,"Bachelor of Arts/Science, Technische Universität Darmstadt"
143,Marc Benioff,$6.4 B,58,"Chairman and CEO, Salesforce.com","business software, Self Made",8,2,"San Francisco, California",Married,2,"Bachelor of Arts/Science, University of Southern California"
143,Stephen Bisciotti,$6.4 B,62,"Owner, Baltimore Ravens","staffing, Baltimore Ravens, Self Made",8,2,"Millersville, Maryland",Married,2,"Bachelor of Arts/Science, Salisbury State University"
143,Stanley Druckenmiller,$6.4 B,69,"Founder, Duquesne Family Office","hedge funds, Self Made",8,3,"New York, New York",Married,,"Bachelor of Arts/Science, Bowdoin College"
143,Melinda French Gates,$6.4 B,58,"Cochair, Bill & Melinda Gates Foundation",Microsoft,2,5,"Medina, Washington",Divorced,3,"Bachelor of Arts/Science, Duke University; Master of Business Administration, Fuqua School of Business"
143,Ted Lerner & family,$6.4 B,96,,"real estate, Self Made",9,1,"Chevy Chase, Maryland",Married,3,"Associate in Arts/Science, George Washington University; LLB, George Washington University"
143,"Edward Roski, Jr.",$6.4 B,83,"President and Chairman, Majestic Realty, Co.",real estate,5,1,"Los Angeles, California",Married,3,"Bachelor of Arts/Science, University of Southern California"
143,David Sun,$6.4 B,70,"COO, Kingston Technology Corporation","computer hardware, Self Made",10,1,"Irvine, California",Married,2,"Bachelor of Engineering, Tatung University"
150,Ken Fisher,$6.3 B,71,,"money management, Self Made",8,1,"Dallas, Texas",Married,3,"Bachelor of Arts/Science, Humboldt State University"
150,Dennis Washington,$6.3 B,88,,"construction, mining, Self Made",10,3,"Missoula, Montana",Married,2,"Diploma, High School"
152,Neil Bluhm,$6.2 B,84,,"real estate, Self Made",10,2,"Chicago, Illinois",Divorced,3,"Doctor of Jurisprudence, Northwestern University; Bachelor of Arts/Science, University of Illinois, Urbana-Champaign"
153,Tom Gores,$6.1 B,58,,"private equity, Self Made",8,1,"Beverly Hills, California",Married,3,"Bachelor of Arts/Science, Michigan State University"
153,Li Ge,$6.1 B,55,,"pharmaceutical ingredients, Self Made",8,,"Shanghai, China",Married,,"Ph.D, Columbia University"
155,Michael Milken,$6 B,76,,"investments, Self Made",8,3,"Los Angeles, California",Married,3,"Bachelor of Arts/Science, University of California, Berkeley; Master of Business Administration, University of Pennsylvania, The Wharton School"
155,David Steward,$6 B,71,,"IT provider, Self Made",10,2,"St. Louis, Missouri",Married,,"Bachelor of Arts/Science, Central Missouri State University"
155,Les Wexner & family,$6 B,85,"Chairman and CEO, Bath & Body Works","retail, Self Made",8,3,"New Albany, Ohio",Married,4,"Bachelor of Arts/Science, Ohio State University"
158,Mitchell Rales,$5.8 B,66,,"manufacturing, investments, Self Made",7,2,"Potomac, Maryland",Married,2,"Bachelor of Arts/Science, Miami University of Ohio"
158,Antony Ressler,$5.8 B,60,,"finance, Self Made",8,2,"Los Angeles, California",Married,3,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Georgetown University"
160,Josh Harris,$5.7 B,57,,"private equity, Self Made",8,2,"Miami, Florida",Married,5,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
160,Ray Lee Hunt,$5.7 B,79,,"oil, real estate",5,2,"Dallas, Texas",Married,5,"Bachelor of Arts/Science, Southern Methodist University"
